Name	MOA	Target	Disease Area	Indication	Id	Phase
butenafine	fungal squalene epoxidase inhibitor	SQLE	infectious disease	tinea pedis, tinea cruris, tinea corporis	BRD-K90630139-003-05-9, BRD-K90630139-003-05-9, BRD-K90630139-003-05-9, BRD-K90630139-003-06-9	Launched
buthionine-sulfoximine	glutathione transferase inhibitor	GCLM			BRD-A47706533-001-02-6	Phase 1
butibufen	cyclooxygenase inhibitor				BRD-A46136514-001-01-2, BRD-A46136514-001-01-2, BRD-A46136514-236-02-9	Withdrawn
butoconazole	bacterial cell wall synthesis inhibitor		infectious disease	vulvovaginal candidiasis	BRD-K01824994-008-03-9, BRD-K01824994-001-02-9	Launched
butofilolol	adrenergic receptor antagonist				BRD-A27274504-001-01-6	Phase 2
butyl-paraben	DNA synthesis inhibitor				BRD-K08287586-001-14-3, BRD-K08287586-001-14-3	Preclinical
butylated-hydroxyanisole	antioxidant				BRD-K93035859-001-07-6, BRD-K93035859-001-08-9	Preclinical
butylated-hydroxytoluene	carbonic anhydrase inhibitor	CA2			BRD-K53153417-001-10-4, BRD-K53153417-001-10-4, BRD-K53153417-001-13-9	Phase 1
butylidenephthalide	cyclooxygenase inhibitor				BRD-K02260986-001-03-9	Phase 1/Phase 2
butylphthalide	potassium channel antagonist	KCNK2	neurology/psychiatry	stroke	BRD-A59378440-001-01-3	Launched
butylscopolamine-bromide	cholinergic receptor antagonist		gastroenterology	abdominal pain	BRD-K01825841-004-02-9	Launched
BU226	imidazoline receptor ligand				BRD-K56115039-003-03-9, BRD-K56115039-003-02-1, BRD-K56115039-003-02-1, BRD-K56115039-003-02-1	Preclinical
BVD-523	MAP kinase inhibitor				BRD-K28965160-001-01-1, BRD-K28965160-001-01-1, BRD-K28965160-001-02-9	Phase 2
BVT-2733	11-beta hydroxysteroid dehydrogenase inhibitor	HSD17B1			BRD-K01742705-001-01-7	Preclinical
BW-A4C	lipoxygenase inhibitor	ALOX5			BRD-K80194255-001-01-9, BRD-K80194255-001-01-9	Phase 1
BW-B70C	lipoxygenase inhibitor	ALOX5			BRD-A55946879-001-04-9, BRD-A55946879-001-03-7	Preclinical
BW-180C	opioid receptor agonist	OPRD1, OPRM1			BRD-K00003548-001-01-9	Phase 2
BW-348U87	antiviral				BRD-K00004593-001-01-9	Preclinical
BW-373U86	opioid receptor agonist	OPRD1			BRD-K74990253-001-03-9, BRD-K74990253-001-02-8, BRD-K74990253-001-02-8	Preclinical
BW-616U	monoamine oxidase inhibitor	MAOA			BRD-K07061232-001-01-8, BRD-K07061232-001-01-8	Preclinical
BW-723C86	serotonin receptor agonist	HTR2A, HTR2B, HTR2C			BRD-K01826747-003-10-9, BRD-K01826747-003-11-9, BRD-K01826747-003-09-9	Preclinical
BX-795	IKK inhibitor	CDK2, CHEK1, GSK3B, KDR, PDK1, PDPK1			BRD-K47983010-001-15-3, BRD-K47983010-001-09-6, BRD-K47983010-001-12-0, BRD-K47983010-001-14-6	Preclinical
BX-912	pyruvate dehydrogenase kinase inhibitor	CDK2, CHEK1, GSK3B, KDR, PDK1, PDPK1			BRD-K49669041-001-08-4, BRD-K49669041-001-08-4	Preclinical
BYK-204165	PARP inhibitor	PARP1			BRD-K61665160-001-02-3, BRD-K61665160-001-01-5, BRD-K61665160-001-01-5, BRD-K61665160-001-01-5, BRD-K61665160-001-01-5, BRD-K61665160-001-01-5, BRD-K61665160-001-03-9	Preclinical
C-021	CC chemokine receptor antagonist	CCR4			BRD-K98179423-300-01-3, BRD-K98179423-300-01-3, BRD-K98179423-300-01-3, BRD-K98179423-300-01-3, BRD-K98179423-300-02-9, BRD-K98179423-300-02-9	Preclinical
C-1	protein kinase inhibitor	PRKCA			BRD-K72462751-001-03-5, BRD-K72462751-001-03-5, BRD-K72462751-001-02-7, BRD-K72462751-001-02-7	Preclinical
C-751					BRD-K15337272-001-01-3	Preclinical
CA-4948	kinase inhibitor				BRD-K00003511-001-01-9	Phase 1
cabagin			gastroenterology	dyspepsia	BRD-K41504985-005-01-5, BRD-K41504985-003-02-9	Launched
cabaletta	pharmacological chaperone				BRD-K54028654-001-02-6	Phase 2
cabazitaxel	microtubule inhibitor	TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8	oncology	prostate cancer	BRD-K10384176-001-02-9	Launched
cabozantinib	RET tyrosine kinase inhibitor, VEGFR inhibitor	KDR, MET, RET	oncology	medullary thyroid cancer (MTC)	BRD-K51544265-001-06-7, BRD-K51544265-001-04-2, BRD-K51544265-001-04-2, BRD-K51544265-001-04-2, BRD-K51544265-001-04-2, BRD-K51544265-001-04-2, BRD-K51544265-001-03-4, BRD-K51544265-001-03-4, BRD-K51544265-001-03-4, BRD-K51544265-001-03-4	Launched
CaCCinh-A01	calcium-activated chloride channel inhibitor	CLCA1			BRD-A90751343-001-02-9, BRD-A90751343-001-01-0	Preclinical
cadazolid	antibacterial 				BRD-K00003370-001-01-9	Phase 3
cadralazine	adrenergic receptor antagonist		cardiology	hypertension	BRD-A78134170-001-01-3, BRD-A78134170-001-01-3	Launched
cafestol	pregnane X receptor agonist				BRD-K46741531-001-02-4	Launched
caffeic-acid	HIV integrase inhibitor, lipoxygenase inhibitor, nitric oxide production inhibitor, tumor necrosis factor production inhibitor	ALOX5, MIF			BRD-K09900591-001-29-9, BRD-K09900591-001-29-9, BRD-K09900591-001-26-7, BRD-K09900591-001-25-9	Preclinical
caffeic-acid-phenethyl-ester	HIV integrase inhibitor	RELA			BRD-K96188950-001-16-9, BRD-K96188950-001-17-9, BRD-K96188950-001-15-1	Preclinical
caffeine	adenosine receptor antagonist, phosphodiesterase inhibitor	ADORA1, ADORA2A, ADORA2B, ADORA3, ATM, ITPR1, ITPR2, ITPR3, PDE10A, PDE11A, PDE1A, PDE1B, PDE1C, PDE2A, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PDE6A, PDE6B, PDE6C, PDE7A, PDE7B, PDE8A, PDE8B, PDE9A, PIK3CA, PIK3CB, PIK3CD, PRKDC, RYR1, RYR2, RYR3	neurology/psychiatry	fatigue, drowsiness	BRD-K02404261-001-16-7, BRD-K02404261-001-16-7, BRD-K02404261-001-16-7	Launched
calcipotriol	vitamin D receptor agonist	VDR	dermatology	psoriasis	BRD-K56429665-001-09-6, BRD-K56429665-001-09-6, BRD-K56429665-001-09-6, BRD-K56429665-001-09-6, BRD-K56429665-002-01-1, BRD-K56429665-002-01-1, BRD-K56429665-002-01-1, BRD-K56429665-001-07-0	Launched
calcitonin	calcitonin agonist		orthopedics	osteoporosis	BRD-K00005332-019-01-9	Launched
calcium-levofolinate					BRD-K97009491-238-05-9, BRD-K97009491-238-03-8, BRD-K97009491-238-02-0, BRD-K97009491-238-04-6	Launched
Calhex-231	calcium sensing receptor negative allosteric modulator	CASR			BRD-K19811997-003-02-9, BRD-K19811997-003-02-9, BRD-K19811997-003-01-3	Preclinical
calpeptin	calpain inhibitor				BRD-K26134695-001-04-4, BRD-K26134695-001-04-4, BRD-K26134695-001-05-9, BRD-K26134695-001-05-9, BRD-K26134695-001-05-9, BRD-K26134695-001-05-9, BRD-K26134695-001-05-9, BRD-K26134695-001-03-6	Preclinical
camicinal	motilin receptor agonist	MLNR			BRD-K23248433-001-02-9, BRD-K23248433-001-01-8, BRD-K23248433-001-01-8	Phase 2
CaMKII-IN-1	calcium/calmodulin dependent protein kinase inhibitor	AKT1, CAMK2A, CAMK4, MYLK			BRD-K35772771-001-02-1, BRD-K35772771-001-01-3	Preclinical
camobucol	anti-inflammatory agent				BRD-K00004732-001-01-9	Preclinical
camostat-mesilate	protease inhibitor	PRSS1	gastroenterology	pancreatitis	BRD-K43806473-066-03-9, BRD-K43806473-066-04-9, BRD-K43806473-066-02-1	Launched
camphor-(+)					BRD-K10034334-001-08-9, BRD-K10034334-001-03-3	Phase 2
camphor-(1R)	TRPV activator	TRPV1			BRD-K15714472-001-04-5	Phase 1
camptothecin	topoisomerase inhibitor	TOP1			BRD-K37890730-001-17-7, BRD-K37890730-001-17-7, BRD-K37890730-001-15-1, BRD-K37890730-001-15-1, BRD-K37890730-001-15-1, BRD-K37890730-001-16-9	Phase 3
camylofine-chlorhydrate			gastroenterology	abdominal pain	BRD-A91733352-300-03-7, BRD-A91733352-300-04-5, BRD-A91733352-300-05-2	Launched
canagliflozin	sodium/glucose cotransporter inhibitor	SLC5A1, SLC5A2	endocrinology	diabetes mellitus	BRD-K90868879-001-04-9, BRD-K90868879-001-03-8, BRD-K90868879-001-02-0	Launched
candesartan	angiotensin receptor antagonist	AGTR1	cardiology	hypertension, congestive heart failure	BRD-K84091759-001-11-9, BRD-K84091759-001-11-9, BRD-K84091759-001-10-5, BRD-K84091759-001-08-9, BRD-K84091759-001-07-1, BRD-K84091759-001-07-1	Launched
candesartan-cilexetil	angiotensin receptor antagonist		cardiology	hypertension, congestive heart failure, hypertension	BRD-A65671304-001-08-3, BRD-A65671304-001-07-5, BRD-A65671304-001-07-5, BRD-A65671304-001-07-5, BRD-A65671304-001-07-5, BRD-A65671304-001-09-9, BRD-A65671304-001-09-9	Launched
candicidin	fungal ergosterol inhibitor		infectious disease	vulvovaginal candidiasis	BRD-A37348498-015-01-4	Launched
canertinib	EGFR inhibitor	AKT1, EGFR, ERBB2, ERBB4			BRD-K50168500-001-07-9, BRD-K50168500-001-07-9, BRD-K50168500-001-07-9, BRD-K50168500-001-07-9, BRD-K50168500-001-01-2, BRD-K50168500-001-01-2, BRD-K50168500-001-01-2	Phase 3
cangrelor	purinergic receptor antagonist		cardiology	myocardial infarction	BRD-K00004669-001-01-9	Launched
canrenone	mineralocorticoid receptor antagonist	NR3C2			BRD-K81644801-001-08-9	Withdrawn
cantharidin	protein phosphatase inhibitor		dermatology	blisters	BRD-K80684056-001-09-3, BRD-K80684056-001-06-9, BRD-K80684056-001-05-1, BRD-K80684056-001-04-4	Launched
capadenoson	adenosine receptor agonist	ADORA1			BRD-K97025174-001-01-4, BRD-K97025174-001-01-4, BRD-K97025174-001-02-9	Phase 2
capobenic-acid					BRD-K04282412-001-16-3	Preclinical
capreomycin	protein synthesis inhibitor		infectious disease	tuberculosis	BRD-K00005140-065-02-9	Launched
capromorelin	growth hormone secretagogue receptor agonist				BRD-K00003188-046-01-9	Preclinical
caprylic-acid					BRD-K35170555-001-12-9, BRD-K35170555-001-09-5	Launched
capsaicin	TRPV agonist	CFTR, TRPV1	neurology/psychiatry, rheumatology	muscle pain, rheumatoid arthritis	BRD-K50590187-001-20-7, BRD-K50590187-001-19-9	Launched
capsazepine	TRPV agonist	TRPV1, TRPV4			BRD-K44849676-001-11-3, BRD-K44849676-001-12-9, BRD-K44849676-001-12-9, BRD-K44849676-001-10-5	Preclinical
captamine					BRD-K81645907-001-01-1, BRD-K81645907-003-01-7	Preclinical
captan					BRD-A79857384-001-03-6	Phase 1
caracemide	ribonucleotide reductase inhibitor	RRM1			BRD-K62790656-001-01-1, BRD-K62790656-001-01-1	Phase 2
caramiphen	cholinergic receptor antagonist	CHRM1, CHRM2	neurology/psychiatry	Parkinson's Disease	BRD-K59895502-001-01-9, BRD-K59895502-001-01-9	Launched
carazolol	adrenergic receptor antagonist	ADRB1, ADRB2, ADRB3	cardiology	angina pectoris, cardiac arrythmia, hypertension, myocardial infarction	BRD-A50675490-001-01-0, BRD-A50675490-001-01-0	Launched
carbachol	cholinergic receptor agonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2	ophthalmology	intraocular pressure	BRD-K75037734-003-14-7, BRD-K75037734-003-15-9, BRD-K75037734-003-13-9	Launched
carbamazepine	carboxamide antiepileptic	SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A	neurology/psychiatry	seizures	BRD-K71799949-001-38-0, BRD-K71799949-001-38-0, BRD-K71799949-001-36-4, BRD-K71799949-001-35-6	Launched
carbaril	acetylcholinesterase inhibitor				BRD-K54208592-001-09-4, BRD-K54208592-001-10-9	Launched
carbarsone	antiprotozoal agent		infectious disease	amebiasis	BRD-K94848716-001-11-6, BRD-K94848716-001-12-9	Launched
carbazochrome			hematology	hemorrhage	BRD-A11070335-236-02-1, BRD-A11070335-236-03-9, BRD-A11070335-236-03-9	Launched
carbendazim	microtubule inhibitor, tubulin polymerization inhibitor	TP53, TUBB	infectious disease	fungicide	BRD-K12906202-001-06-2, BRD-K12906202-001-06-2	Launched
carbenicillin	bacterial cell wall synthesis inhibitor		infectious disease	gram-negative bacterial infections	BRD-A13078313-304-09-9, BRD-A13078313-304-06-5, BRD-A13078313-304-08-1, BRD-A13078313-304-05-7, BRD-A13078313-304-07-3	Launched
carbenoxolone	11-beta hydroxysteroid dehydrogenase inhibitor	GJA1, GJA10, GJA3, GJA4, GJA5, GJA8, GJA9, GJB1, GJB2, GJB3, GJB4, GJB5, GJB6, GJB7, GJC1, GJC2, GJC3, GJD2, GJD3, GJD4, GJE1, HSD11B1, PANX1, PANX2, PANX3	gastroenterology, dental	peptic ulcer disease (PUD), mouth inflammation	BRD-K12765235-304-04-9	Launched
carbetapentane	acetylcholine receptor antagonist	CHRM2	otolaryngology, pulmonary	common cold, nasal congestion, bronchitis	BRD-K06181161-048-16-9, BRD-K06181161-048-15-1	Launched
carbetocin	oxytocin receptor agonist	OXTR	hematology	hemorrhage	BRD-K56107812-001-01-7	Launched
carbimazole	antithyroid agent	TPO	endocrinology	hyperthyroidism	BRD-K87156652-001-14-9, BRD-K87156652-001-11-9, BRD-K87156652-001-12-7, BRD-K87156652-001-13-5	Launched
carbinoxamine	histamine receptor antagonist	HRH1	allergy, ophthalmology, otolaryngology, dermatology	allergic rhinitis, conjunctivitis, vasomotor rhinitis, dermatographism	BRD-K01826745-050-08-9	Launched
carboxyamidotriazole	calcium channel blocker	CXCL8			BRD-K68408772-001-05-4, BRD-K68408772-001-05-4, BRD-K68408772-001-05-4, BRD-K68408772-001-06-9	Phase 3
carboxylosartan	angiotensin antagonist	AGTR1			BRD-K23533833-001-01-9	Phase 1
carboxypyridine-disulfide					BRD-K26530649-001-01-6, BRD-K26530649-001-01-6, BRD-K26530649-001-01-6	Phase 2
cardiogenol-C	cardiomyogenesis inducer				BRD-K99174507-003-03-8, BRD-K99174507-003-02-0, BRD-K99174507-003-04-9	Preclinical
cardionogen-1	WNT signaling inhibitor	CTNNB1			BRD-K50905564-001-08-9, BRD-K50905564-001-07-7	Preclinical
carebastine	histamine receptor antagonist	HRH1			BRD-K49554218-001-01-0	Phase 1
carfilzomib	proteasome inhibitor	PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9	hematologic malignancy	multiple myeloma	BRD-K15179879-001-11-9, BRD-K15179879-001-11-9, BRD-K15179879-001-03-2, BRD-K15179879-001-03-2, BRD-K15179879-001-03-2, BRD-K15179879-001-03-2, BRD-K15179879-001-03-2, BRD-K15179879-001-03-2	Launched
carglumic-acid	carbamoyl phosphate synthase activator	CPS1	metabolism	hyperammonemia	BRD-K60240222-001-02-9, BRD-K60240222-001-01-4	Launched
caricotamide	NADPH quinone oxidoreductase inhibitor	NQO2			BRD-K90215590-001-01-4	Phase 2
cariporide	sodium/hydrogen exchanger inhibitor	SLC9A1			BRD-K21670884-001-01-9	Phase 3
cariprazine	dopamine receptor antagonist	DRD2, DRD3	neurology/psychiatry	schizophrenia	BRD-K57764956-001-02-8, BRD-K57764956-001-02-8	Launched
carmofur	thymidylate synthase inhibitor	TYMS	oncology	breast cancer, colorectal cancer	BRD-K11630072-001-12-4, BRD-K11630072-001-13-2, BRD-K11630072-001-13-2, BRD-K11630072-001-11-6	Launched
carmoxirole	dopamine receptor agonist	DRD2			BRD-K82484965-003-04-3, BRD-K82484965-003-04-3, BRD-K82484965-003-03-5	Phase 2
carmustine	DNA alkylating agent, DNA inhibitor	GSR	hematologic malignancy, oncology	non-Hodgkin lymphoma (NHL), Hodgkin's lymphoma, multiple myeloma, glioblastoma, brainstem glioma, medulloblastoma, astrocytoma, ependymoma	BRD-K36234266-001-09-8, BRD-K36234266-001-09-8	Launched
carnitine-(D/L)					BRD-A89594340-003-12-3, BRD-A89594340-003-11-5, BRD-A89594340-003-11-5, BRD-A89594340-003-13-1	Phase 3
carnosine	antiglycating agent				BRD-A96051074-001-02-2	Phase 2
caroverin	cytochrome P450 inhibitor				BRD-K70161083-003-05-5, BRD-K70161083-001-06-9	Phase 3
caroxazone	monoamine oxidase inhibitor	MAOA, MAOB			BRD-K92129045-001-01-6, BRD-K92129045-001-01-6, BRD-K92129045-001-01-6	Withdrawn
carprofen	cyclooxygenase inhibitor	PTGS2	rheumatology	osteoarthritis	BRD-A17411484-001-11-9, BRD-A17411484-001-10-1, BRD-A17411484-001-13-9	Launched
carsalam	analgesic agent				BRD-K13238618-001-06-9, BRD-K13238618-001-05-9	Preclinical
carteolol	adrenergic receptor antagonist	ADRB1, ADRB2, ADRB3	ophthalmology	intraocular pressure, glaucoma, ocular hypertension	BRD-A42167015-003-10-2	Launched
carumonam	bacterial cell wall synthesis inhibitor		infectious disease	urinary tract infections, gram-negative bacterial infections	BRD-K71026158-304-01-0	Launched
carvedilol	adrenergic receptor antagonist	ADRB1, ADRB2, ADRB3	cardiology	myocardial infarction, hypertension	BRD-K01826535-001-02-9, BRD-K01826535-001-02-9	Launched
carzenide		CA1, CA12, CA14, CA2, CA6, CA9			BRD-K09295674-001-09-8	Preclinical
casanthranol-variant			gastroenterology	constipation	BRD-K12413266-001-01-3, BRD-K12413266-001-02-1	Launched
casin	GTPase inhibitor	CDC42			BRD-A25043798-001-02-9, BRD-A25043798-001-01-2	Preclinical
caspofungin	bacterial cell wall synthesis inhibitor, fungal 1,3-beta-D-glucan synthase inhibitor		infectious disease	candidemia, esophageal candidiasis, aspergillosis, peritonitis, fungal infection	BRD-K00002625-402-02-9	Launched
castanospermine	glucosidase inhibitor	GAA, GBA			BRD-K20897876-001-11-8, BRD-K20897876-001-10-0	Phase 2
catharanthine	tubulin polymerization inhibitor				BRD-K92377961-001-04-9, BRD-K92377961-001-03-7, BRD-K92377961-001-02-9	Preclinical
cathepsin-inhibitor-1	cathepsin inhibitor	CTSB, CTSL, CTSV			BRD-K40269473-001-02-2, BRD-K40269473-001-03-0	Preclinical
CAY10505	PI3K inhibitor	PIK3CG			BRD-K40366680-001-05-9, BRD-K40366680-001-05-9, BRD-K40366680-001-04-1, BRD-K40366680-001-03-3	Preclinical
CB-03-01	androgen receptor antagonist	AR			BRD-K41779183-001-01-2, BRD-K41779183-001-01-2, BRD-K41779183-001-02-0, BRD-K41779183-001-02-0, BRD-K41779183-001-02-0	Phase 3
CB-10-277	DNA synthesis inhibitor				BRD-K59929863-001-02-9, BRD-K59929863-001-01-9, BRD-K59929863-001-01-9	Phase 1
CB-5083	valosin-containing protein inhibitor	VCP			BRD-K49048664-001-02-0, BRD-K49048664-001-01-2, BRD-K49048664-001-01-2	Phase 1
CB-839	glutaminase inhibitor	GLS			BRD-K58070273-001-03-3, BRD-K58070273-001-03-3, BRD-K58070273-001-03-3, BRD-K58070273-001-03-3, BRD-K58070273-001-04-1	Phase 2
CBiPES	glutamate receptor positive allosteric modulator	GRM2			BRD-K34675210-003-01-4, BRD-K34675210-003-01-4, BRD-K34675210-003-02-9	Preclinical
cbl0137	histone chaperone inhibitor				BRD-K00003273-003-01-9	Phase 1
CBS-1114	lipoxygenase inhibitor	ALOX5			BRD-K91874254-001-01-4	Phase 1
CC-115	DNA protein kinase inhibitor, mTOR inhibitor	MTOR			BRD-K16755045-003-01-7, BRD-K16755045-003-01-7, BRD-K16755045-001-01-1, BRD-K16755045-003-02-5	Phase 2
CC-223	mTOR inhibitor	MTOR			BRD-K88737571-001-02-2, BRD-K88737571-001-01-4	Phase 2
CC-401	JNK inhibitor	MAPK8			BRD-K00004320-300-01-9	Phase 1
CC-90003	MAP kinase inhibitor				BRD-K00003116-001-01-9	Phase 1
CC-930	JNK inhibitor				BRD-K48213016-001-01-8, BRD-K48213016-001-01-8, BRD-K48213016-001-01-8, BRD-K48213016-001-01-8, BRD-K48213016-001-02-9	Phase 2
CCG-1423	apoptosis stimulant	RHOC, SRF			BRD-A79726147-001-02-9, BRD-A79726147-001-01-5	Preclinical
CCG-50014	G protein signaling inhibitor	RGS4, RGS8			BRD-K08893438-001-08-9, BRD-K08893438-001-06-4, BRD-K08893438-001-04-9, BRD-K08893438-001-04-9, BRD-K08893438-001-04-9, BRD-K08893438-001-03-1	Preclinical
CCG-63802	G protein signaling inhibitor	RGS4			BRD-K26970495-001-02-7, BRD-K26970495-001-01-9	Preclinical
CCG-63808	G protein signaling inhibitor	RGS4			BRD-K68474505-001-02-7, BRD-K68474505-001-01-9	Preclinical
CCMQ	homoquinolinic acid binding inhibitor				BRD-K06159959-001-03-9, BRD-K06159959-001-02-0	Preclinical
CCT-031374	WNT signaling inhibitor	CTNNB1			BRD-K90999434-004-02-9, BRD-K90999434-004-01-7	Preclinical
CCT018159	HSP inhibitor	HSP90AA1, HSP90AB1			BRD-K65503129-001-07-1, BRD-K65503129-001-07-1, BRD-K65503129-001-06-3	Preclinical
CCT128930	AKT inhibitor				BRD-K76406695-001-02-9, BRD-K76406695-001-02-9, BRD-K76406695-001-02-9, BRD-K76406695-001-02-9, BRD-K76406695-001-05-9	Preclinical
CCT129202	Aurora kinase inhibitor	AURKA, AURKB, AURKC			BRD-K57136142-001-02-4, BRD-K57136142-001-03-2, BRD-K57136142-001-04-9	Preclinical
CCT137690	Aurora kinase inhibitor	AURKA, AURKB, AURKC			BRD-K03289018-001-02-7, BRD-K03289018-001-03-5, BRD-K03289018-001-04-3, BRD-K03289018-001-05-9	Preclinical
CCT196969	RAF inhibitor				BRD-K00005244-001-01-9, BRD-K00005244-001-01-9	Preclinical
CCT245737	kinase inhibitor				BRD-K00003276-001-01-9	Preclinical
CC4	nicotinic receptor agonist	CHRNB2			BRD-K17751100-001-02-9, BRD-K17751100-001-01-1	Preclinical
CD-437	retinoid receptor agonist	RARG			BRD-K28907958-001-05-0, BRD-K28907958-001-05-0, BRD-K28907958-001-04-3, BRD-K28907958-001-04-3, BRD-K28907958-001-04-3, BRD-K28907958-001-04-3, BRD-K28907958-001-04-3	Preclinical
CDBA					BRD-A08079565-001-01-8, BRD-A08079565-001-01-8, BRD-A08079565-001-01-8	Phase 3
CDK1-5-inhibitor	CDK inhibitor, glycogen synthase kinase inhibitor	CDK1, CDK5, GSK3B			BRD-K87932577-001-04-9, BRD-K87932577-001-02-4, BRD-K87932577-001-02-4, BRD-K87932577-001-02-4	Preclinical
CDK9-IN-6	CDK inhibitor	CDK9			BRD-K43914553-001-01-5, BRD-K43914553-001-01-5, BRD-K43914553-001-01-5	Preclinical
CDPPB	glutamate receptor positive allosteric modulator	GRM5			BRD-K02213468-001-02-3, BRD-K02213468-001-03-9	Preclinical
cebranopadol	opioid receptor agonist	OPRL1, OPRM1			BRD-K48141473-001-01-7, BRD-K48141473-001-01-7, BRD-K48141473-001-02-9	Phase 3
cediranib	KIT inhibitor, VEGFR inhibitor	CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRA, PDGFRB			BRD-K86930074-001-06-9, BRD-K86930074-001-05-0, BRD-K86930074-001-05-0, BRD-K86930074-001-05-0, BRD-K86930074-001-05-0	Phase 3
cedrol					BRD-A61188230-001-01-6	Phase 2
cedrol-(+)	sedative				BRD-K96362839-001-01-9, BRD-K96362839-001-02-9	Phase 2
cefaclor	bacterial cell wall synthesis inhibitor		infectious disease, otolaryngology	pneumonia, skin infections, urinary tract infections, respiratory tract infections, tonsillitis, pharyngitis	BRD-K20338176-001-19-9, BRD-K20338176-001-18-5, BRD-K20338176-001-17-7, BRD-K20338176-001-16-9	Launched
cefadroxil	bacterial cell wall synthesis inhibitor	SLC15A1, SLC15A2, SLC22A6, SLC22A8	infectious disease, otolaryngology	urinary tract infections, skin infections, tonsillitis, pharyngitis	BRD-K63242551-001-10-9	Launched
cefalonium	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections	BRD-K15514357-001-05-6, BRD-K15514357-002-06-9	Launched
cefathiamidine	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections	BRD-K63835048-001-01-0	Launched
cefazolin	bacterial cell wall synthesis inhibitor	PON1	infectious disease	urinary tract infections, skin infections, bacterial septicemia, endocarditis, surgical prophylaxis, bone and joint infections	BRD-K99750640-236-20-3, BRD-K99750640-236-18-7, BRD-K99750640-236-19-5	Launched
cefcapene-pivoxil	bacterial cell wall synthesis inhibitor		infectious disease	skin infections, pneumonia, urinary tract infections	BRD-K27515606-311-02-8, BRD-K27515606-311-02-8, BRD-K27515606-003-01-3, BRD-K27515606-311-01-0	Launched
cefdinir	bacterial cell wall synthesis inhibitor	MPO	infectious disease, otolaryngology, pulmonary	pneumonia, tonsillitis, pharyngitis, bronchitis, skin infections, otitis, sinusitis	BRD-K15766189-001-09-8, BRD-K15766189-001-09-8, BRD-K15766189-001-10-6, BRD-K15766189-001-08-0	Launched
cefepime	bacterial cell wall synthesis inhibitor		infectious disease	pneumonia, urinary tract infections, skin infections, intra-abdominal infections	BRD-A12077521-003-01-5	Launched
cefetamet	bacterial cell wall synthesis inhibitor		infectious disease, otolaryngology, pulmonary	ear infections, pneumonia, otitis, sinusitis, bronchitis, urinary tract infections	BRD-K27798832-001-01-5, BRD-K27798832-001-02-9	Launched
cefetamet-pivoxil	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections	BRD-K21372554-001-01-1, BRD-K21372554-003-01-7, BRD-K21372554-003-02-5	Launched
cefiderocol	antibacterial 				BRD-K00003257-001-01-9	Launched
cefixime	bacterial cell wall synthesis inhibitor		infectious disease, otolaryngology, pulmonary	urinary tract infections, otitis, pharyngitis, tonsillitis, gonorrhea, bronchitis	BRD-K71059170-341-02-5, BRD-K71059170-001-11-6, BRD-K71059170-001-12-4	Launched
cefmenoxime	bacterial cell wall synthesis inhibitor		infectious disease	gram-negative bacterial infections	BRD-K00003661-003-01-9	Launched
cefminox	bacterial cell wall synthesis inhibitor		infectious disease	gram-negative bacterial infections	BRD-K77073709-435-01-2, BRD-K77073709-435-02-9	Launched
cefotetan	bacterial cell wall synthesis inhibitor		infectious disease	urinary tract infections, respiratory tract infections, skin infections, gynecologic infections, chlamydia, intra-abdominal infections, bone and joint infections, surgical prophylaxis	BRD-A78723049-001-01-2, BRD-A78723049-001-01-2	Launched
cefotiam	bacterial cell wall synthesis inhibitor		infectious disease	bacterial septicemia, bone and joint infections, respiratory tract infections, skin infections, urinary tract infections	BRD-K02275692-300-01-8, BRD-K02275692-300-02-6	Launched
cefotiam-cilexetil	bacterial cell wall synthesis inhibitor		infectious disease	gram-negative bacterial infections, gram-positive bacterial infections	BRD-A76661185-300-02-4, BRD-A76661185-300-01-6	Launched
cefoxitin	bacterial cell wall synthesis inhibitor		infectious disease	respiratory tract infections, urinary tract infections, intra-abdominal infections, gynecologic infections, bacterial septicemia, bone and joint infections, skin infections	BRD-K70976396-236-27-8, BRD-K70976396-236-25-2, BRD-K70976396-236-26-0, BRD-K70976396-236-26-0	Launched
cefozopran	bacterial cell wall synthesis inhibitor		infectious disease	gram-negative bacterial infections, gram-positive bacterial infections	BRD-K46970505-003-02-9, BRD-K46970505-003-01-9, BRD-K46970505-003-01-9	Launched
